,Score,Rating,Total_shot,Woodwork,Shot_onTarget,Shot_offTarget,Shot_blocked,Possession,Touches,Pass%,Total_pass,Acc_pass,Key_pass,Dribble_won,Dribble_att,Dribbled_past,Dribble%,Aerial_won,Aerial_won%,Off_aerial,Def_aerial,Succ_Tack,Tack_att,Was_dribbled,Tack%,Clearance,Intercept,Corner,Corner%,Disposs,Err,Foul,Offside,W,D,L,Result
1242,-1,-0.28000000000000025,7,0,0,3,4,-0.7999999999999972,-20,1,-22,-14,2,-2,-5,2,7,0,0,16,-16,10,12,2,8,-6,0,5,57,-7,0,4,-2,0,0,1,L
1243,-2,-0.6100000000000003,-10,0,-9,2,-3,-3.200000000000003,-39,-4,-30,-39,-9,-1,1,1,-11,-4,-14,6,-6,-2,-1,1,-6,4,3,-3,10,0,0,4,-1,0,0,1,L
1244,2,0.9899999999999993,-1,0,3,-1,-3,-8.799999999999997,-57,-3,-60,-56,0,7,6,-7,40,11,30,3,-3,-1,-8,-7,28,14,4,-6,71,2,-1,4,1,1,0,0,W
1245,-1,-0.4299999999999997,15,0,1,2,12,7.599999999999994,55,4,46,50,11,10,14,-10,5,-10,-22,6,-6,-11,-21,-10,0,-26,-11,3,6,7,0,-4,0,0,0,1,L
1246,1,0.5,2,1,-2,5,-1,14.400000000000006,160,11,120,146,2,0,3,0,-11,4,12,-2,2,-8,-8,0,-14,1,2,4,67,5,0,-1,4,1,0,0,W
1247,-2,-0.79,-5,0,-5,-1,1,-7.0,-80,-3,-75,-76,-1,-1,-5,1,13,-3,-12,1,-1,-2,-1,1,-5,-9,-1,-2,8,6,1,3,1,0,0,1,L
1248,1,0.39000000000000057,-2,-1,-1,-1,0,10.799999999999997,91,4,93,96,-1,-8,-6,8,-35,8,24,2,-2,-6,2,8,-32,-11,7,10,27,4,0,1,-3,1,0,0,W
1249,2,0.6200000000000001,5,-1,5,-1,1,20.599999999999994,170,8,185,190,2,2,3,-2,3,-5,-30,-3,3,-2,-4,-2,2,-17,-1,4,-12,1,-1,-3,2,1,0,0,W
1250,1,0.45999999999999996,16,0,6,4,6,35.199999999999996,334,17,304,312,14,10,17,-10,21,3,10,-1,1,-7,-17,-10,23,-14,-12,11,36,0,0,2,-1,1,0,0,W
1251,0,-0.27000000000000046,8,1,7,-4,5,11.400000000000006,68,3,108,109,7,-13,-15,13,-35,8,26,0,0,3,16,13,-37,-18,-7,8,50,-1,0,12,0,0,1,0,D
1252,2,1.0199999999999996,7,0,1,4,2,3.4000000000000057,48,2,47,48,9,4,-1,-4,18,7,28,-9,9,9,5,-4,19,7,5,0,75,-4,0,-1,1,1,0,0,W
1253,0,-0.25,10,0,4,2,4,25.200000000000003,232,9,230,233,8,3,3,-3,9,-2,-8,-12,12,-5,-8,-3,1,-16,-11,9,-40,5,0,5,2,0,1,0,D
1254,0,0.040000000000000036,8,2,-4,8,4,11.200000000000003,78,4,70,73,6,6,10,-6,6,5,16,5,-5,-4,-10,-6,13,-31,-4,3,0,0,0,5,0,0,1,0,D
1255,-1,-0.41999999999999993,14,1,3,8,3,20.400000000000006,154,11,138,139,4,8,9,-8,13,4,12,4,-4,-1,-9,-8,17,-28,-5,10,-36,0,0,2,-1,0,0,1,L
1256,-1,-0.25,-3,-1,-5,3,-1,6.400000000000006,70,1,56,46,4,2,5,-2,0,9,18,9,-9,3,1,-2,7,-4,-4,-3,16,-5,2,-3,3,0,0,1,L
1257,0,-0.020000000000000462,4,0,4,-2,2,-7.799999999999997,-74,1,-72,-57,3,-2,1,2,-19,3,12,-11,11,1,3,2,-4,14,3,0,34,-4,0,4,0,0,1,0,D
1258,2,0.7000000000000002,-2,0,0,-1,-1,-28.199999999999996,-216,-6,-228,-212,-3,-7,-8,7,-14,-3,-16,1,-1,0,7,7,-16,11,5,-8,30,1,-1,-2,-1,1,0,0,W
1259,0,-0.15000000000000036,-6,-2,2,-4,-4,-33.400000000000006,-344,-16,-348,-351,-8,-4,-2,4,-15,-7,-34,1,-1,-3,1,4,-12,14,6,-3,-17,1,0,3,0,0,1,0,D
1260,-1,-0.47000000000000064,7,1,2,3,2,6.799999999999997,62,4,44,50,0,2,6,-2,-10,-4,-14,-6,6,-5,-7,-2,-9,-13,-4,3,7,1,2,-3,3,0,0,1,L
